sample_type,alias_name,test_type,loinc_code,component,loinc_name
혈액,CBC,PANEL.HEM/BC,47288-6,complete blood count wo differential panel,cbc wo differential panel - cord blood
혈액,CBC,PANEL.HEM/BC,57021-8,complete blood count w auto differential panel,cbc w auto differential panel - blood
혈액,CBC,PANEL.HEM/BC,57022-6,complete blood count w reflex manual differential panel,cbc w reflex manual differential panel - blood
혈액,CBC,PANEL.HEM/BC,57782-5,complete blood count w ordered manual differential panel,cbc w ordered manual differential panel - blood
혈액,CBC,PANEL.HEM/BC,58410-2,complete blood count panel,cbc panel - blood by automated count
혈액,CBC,PANEL.HEM/BC,69742-5,"complete blood count w differential panel, method unspecified","cbc w differential panel, method unspecified - blood"
혈액,CBC,PANEL.HEM/BC,74412-8,complete blood count w differential panel,cbc w differential panel - cord blood
혈액,LFT,CHEM,100843-2,liver fibrosis score,liver fibrosis score in serum or plasma by calculated.agile3+
혈액,LFT,CHEM,100844-0,liver fibrosis score,liver fibrosis score in serum or plasma by calculated.agile4
혈액,LFT,ALLERGY,102414-0,liver beef ab.ige,liver beef ige ab [presence] in serum by radioallergosorbent test (rast)
혈액,LFT,SERO,11566-7,liver kidney microsomal ab,liver kidney microsomal ab [units/volume] in serum
혈액,LFT,SERO,12734-0,soluble liver ab,soluble liver ab [units/volume] in serum
혈액,LFT,SERO,13175-5,liver cytosol ab,liver cytosol ab [presence] in serum
혈액,LFT,CHEM,13874-3,alkaline phosphatase.liver 1,alkaline phosphatase.liver 1 [enzymatic activity/volume] in serum or plasma
혈액,LFT,CHEM,13875-0,alkaline phosphatase.liver 2,alkaline phosphatase.liver 2 [enzymatic activity/volume] in serum or plasma
혈액,LFT,SERO,13925-3,soluble liver ab,soluble liver ab [presence] in serum
혈액,LFT,SERO,14272-9,liver kidney microsomal ab,liver kidney microsomal ab [presence] in serum
혈액,LFT,CHEM,15015-1,alkaline phosphatase.liver/alkaline phosphatase.total,alkaline phosphatase.liver/alkaline phosphatase.total in serum or plasma
혈액,LFT,CHEM,15348-6,alkaline phosphatase.liver 1/alkaline phosphatase.total,alkaline phosphatase.liver 1/alkaline phosphatase.total in serum or plasma
